,Brand,Color,Bluetooth,Touchscreen,WiFi,Webcam,GPU_amd,GPU_intel,GPU_mali,GPU_nvidia,OS_Windows,OS_android,OS_chrome,OS_linux,OS_windows,Storage Type_emmc,Storage Type_hdd/ssd,Storage Type_other,Storage Type_ssd,Processor Speed,Display Width,Display Height,Hard Drive Capacity,SSD Capacity,Screen Size (cm),Ram Size,Price per Screen Size,Price per Display Height,Price per Display Width
0,dell,1,1,0,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7619047619047619,0.37270437353307584,0.3237880488322229,0.49987496874218557,0.05053803803803804,0.00837404047452896,0.0116796875,0.08247186180525853,0.08383154333604267,0.08202569798713542
1,dell,1,1,1,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.37270437353307584,0.3237880488322229,0.12478119529882471,0.12412412412412413,0.00837404047452896,0.03125,0.03587054553125926,0.034781154116671806,0.03403286213978202
2,hp,1,1,0,1,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.19170344797959876,0.16395613310165744,0.0037509377344336087,0.05053803803803804,0.006699232379623167,0.0078125,0.02087242075342041,0.02268887066328524,0.02218885173138195
3,dell,2,0,0,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.09523809523809523,0.19170344797959876,0.16395613310165744,0.02447861965491373,0.06306306306306306,0.007327285415212841,0.015625,0.023112140720244343,0.027670550818377604,0.027060745267862923
4,acer,1,1,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.14285714285714285,0.19170344797959876,0.16395613310165744,0.02447861965491373,0.003003003003003003,0.006699232379623167,0.0078125,0.012123514633014417,0.011959098021547855,0.011695542575884491
5,hp,1,1,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.14285714285714285,0.0,0.0,0.0037509377344336087,0.003003003003003003,0.006699232379623167,0.0078125,0.009523839671522347,0.017444585431844087,0.017517294745688805
6,acer,3,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0037509377344336087,0.05053803803803804,0.006699232379623167,0.00390625,0.008373983438554703,0.01502682844724287,0.015099716675628982
7,dell,1,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.42857142857142855,0.37270437353307584,0.3237880488322229,0.12778194548637162,0.12412412412412413,0.00837404047452896,0.03125,0.05761782645912559,0.057671335752378206,0.05642951886854695
8,hp,4,1,1,1,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2619047619047619,0.37270437353307584,0.3237880488322229,0.02447861965491373,0.015015015015015015,0.00837404047452896,0.015625,0.02551469747037053,0.023881067623478282,0.023367787507036806
9,lenovo,1,0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.16666666666666663,0.37270437353307584,0.3237880488322229,0.02447861965491373,0.031031031031031032,0.00837404047452896,0.03125,0.0282072179662016,0.02671509011170859,0.026140706911550585
