Brand,Price,Color,GPU,Processor Speed,Display Width,Display Height,OS,Storage Type,Hard Drive Capacity,SSD Capacity,Screen Size (cm),Ram Size,Price per Screen Size,Price per Display Height,Price per Display Width,Bluetooth,Touchscreen,WiFi,Webcam
samsung,127.56,other,other,1.1861742242409754,779.2421706908917,447.9493186708104,unknown,unknown,98.89,205.95,9.07658618216591,5.98,14.053741950981053,0.28476435766998337,0.16369750611276948,No,No,No,No
dell,430.5,other,intel,1.1861742242409754,1280.0,720.0,windows,unknown,98.89,360.0,14.0,5.98,30.75,0.5979166666666667,0.336328125,No,No,No,Yes
lenovo,60.97,other,other,1.1861742242409754,779.2421706908917,447.9493186708104,unknown,unknown,98.89,205.95,9.07658618216591,5.98,6.717283213792057,0.13610914775116717,0.07824268538488205,No,No,No,No
auo,66.3,other,other,1.1861742242409754,779.2421706908917,447.9493186708104,unknown,unknown,98.89,205.95,9.07658618216591,5.98,7.304508398793068,0.14800781525180226,0.0850826642778035,No,No,No,No
dell,942.5,black,intel,2.9,1280.0,720.0,windows,unknown,98.89,120.0,11.6,5.98,81.25,1.3090277777777777,0.736328125,Yes,Yes,Yes,Yes
lg,109.2,other,other,1.1861742242409754,779.2421706908917,447.9493186708104,unknown,unknown,98.89,205.95,9.07658618216591,5.98,12.03095500977682,0.24377757806179196,0.14013615292814696,No,No,No,No
dell,464.5,other,intel,2.6,1280.0,720.0,windows,unknown,98.89,960.0,14.0,5.98,33.17857142857143,0.6451388888888889,0.362890625,No,No,Yes,No
auo,70.5,other,other,1.1861742242409754,779.2421706908917,447.9493186708104,unknown,unknown,98.89,205.95,9.07658618216591,5.98,7.767237437630638,0.15738387594648656,0.09047251631350148,No,No,No,No
lenovo,91.9,other,other,1.1861742242409754,779.2421706908917,447.9493186708104,unknown,unknown,98.89,205.95,9.07658618216591,5.98,10.124952064088733,0.2051571375813066,0.11793509573348632,No,No,No,No
lg,112.44,other,other,1.1861742242409754,779.2421706908917,447.9493186708104,unknown,unknown,98.89,205.95,9.07658618216591,5.98,12.387917411165802,0.25101053916911986,0.1442940387842568,No,No,No,No
acer,50.47,other,intel,1.1861742242409754,779.2421706908917,447.9493186708104,chrome,ssd,98.89,16.0,11.6,4.0,4.350862068965517,0.1126689960144564,0.06476805529563714,No,No,No,No
lg,137.4,other,other,1.1861742242409754,779.2421706908917,447.9493186708104,unknown,unknown,98.89,205.95,9.07658618216591,5.98,15.137849984829074,0.3067311284403866,0.17632515945354757,No,No,No,No
samsung,90.9,other,other,1.1861742242409754,1366.0,768.0,unknown,unknown,98.89,205.95,9.07658618216591,5.98,10.01477848341312,0.118359375,0.06654465592972182,No,No,No,No
lenovo,597.5,other,intel,1.6,1280.0,720.0,windows,ssd,98.89,240.0,15.6,5.98,38.30128205128205,0.8298611111111112,0.466796875,Yes,No,Yes,Yes
lenovo,434.2,other,intel,2.8,1920.0,1080.0,windows,unknown,98.89,960.0,14.0,5.98,31.014285714285712,0.402037037037037,0.22614583333333332,Yes,No,Yes,No
lenovo,470.2,black,intel,1.99,1280.0,720.0,windows,ssd,98.89,240.0,12.5,5.98,37.616,0.6530555555555555,0.36734374999999997,Yes,Yes,Yes,Yes
dell,532.0,black,intel,2.6,1280.0,720.0,windows,unknown,98.89,2000.0,14.0,5.98,38.0,0.7388888888888889,0.415625,Yes,No,Yes,No
dell,283.0,other,intel,3.1,1280.0,720.0,windows,ssd,98.89,240.0,14.0,5.98,20.214285714285715,0.39305555555555555,0.22109375,No,No,Yes,No
dell,293.2,other,intel,2.6,1280.0,720.0,windows,unknown,98.89,120.0,14.0,5.98,20.942857142857143,0.4072222222222222,0.2290625,No,No,Yes,No
acer,91.44,other,other,1.1861742242409754,779.2421706908917,447.9493186708104,unknown,unknown,98.89,205.95,9.07658618216591,5.98,10.07427221697795,0.20413023569569833,0.11734477860576702,No,No,No,No
dell,427.2,other,intel,3.0,1280.0,720.0,windows,ssd,98.89,120.0,15.6,5.98,27.384615384615383,0.5933333333333333,0.33375,No,No,Yes,No
lg,91.9,other,other,1.1861742242409754,779.2421706908917,447.9493186708104,unknown,unknown,98.89,205.95,9.07658618216591,5.98,10.124952064088733,0.2051571375813066,0.11793509573348632,No,No,No,No
samsung,70.5,other,other,1.1861742242409754,779.2421706908917,447.9493186708104,unknown,unknown,98.89,205.95,9.07658618216591,5.98,7.767237437630638,0.15738387594648656,0.09047251631350148,No,No,No,No
auo,90.1,other,other,1.1861742242409754,779.2421706908917,447.9493186708104,unknown,unknown,98.89,205.95,9.07658618216591,5.98,9.926639618872631,0.2011388258550133,0.11562515914675861,No,No,No,No
hp,329.5,other,intel,2.8,1920.0,1080.0,windows,ssd,98.89,256.0,14.0,16.0,23.535714285714285,0.3050925925925926,0.17161458333333332,Yes,Yes,Yes,Yes
lenovo,729.5,other,intel,4.0,1920.0,1080.0,windows,ssd,98.89,256.0,15.6,5.98,46.76282051282051,0.6754629629629629,0.37994791666666666,Yes,No,Yes,Yes
asus,417.8,other,amd,1.1861742242409754,779.2421706908917,447.9493186708104,unknown,unknown,98.89,205.95,9.07658618216591,5.98,46.03052200627065,0.9326947995807389,0.5361619477415733,No,No,No,No
dell,377.8,other,intel,1.1861742242409754,1280.0,720.0,windows,unknown,98.89,240.0,13.3,5.98,28.406015037593985,0.5247222222222222,0.29515625,No,No,No,Yes
