Brand,Price,Color,Features,Condition,Condition Description,Seller Note,GPU,Processor,Processor Speed,Type,Display Width,Display Height,OS,Storage Type,Hard Drive Capacity,SSD Capacity,Screen Size (inch),Ram Size
lg,95.94,other,No specifications,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,not applicable,1.1861742242409754,other,779.2421706908917,447.94931867081044,unknown,unknown,98.89,205.95,9.07658618216591,5.98
dell,373.8,other,No specifications,Seller refurbished,"The item has been restored to working order by the eBay seller or a third party. This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition. This item may or may not be in original packaging. See seller's listing for full details.",undefined,intel,intel core i5 5th generation,1.1861742242409754,notebook/laptop,1280.0,720.0,windows,unknown,98.89,240.0,14.0,5.98
lg,90.2,other,No specifications,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,not applicable,1.1861742242409754,other,779.2421706908917,447.94931867081044,unknown,unknown,98.89,205.95,9.07658618216591,5.98
dell,470.5,other,"Touchscreen, 10/100 LAN Card, Bluetooth, Backlit Keyboard, Webcam integrated, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 6th generation,2.8,notebook/laptop,1920.0,1080.0,windows,unknown,98.89,240.0,12.5,5.98
dell,280.0,other,"10/100 LAN Card,  Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 3rd generation,3.0,notebook/laptop,1280.0,720.0,windows,unknown,98.89,240.0,14.0,5.98
lenovo,650.5,other,"Webcam integrated,  Wi-Fi,  Water resistant,  Bluetooth",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i3 10th generation,1.49,notebook/laptop,1920.0,1080.0,windows,ssd,98.89,960.0,15.6,5.98
dell,331.0,other,"10/100 LAN Card,  Wi-Fi,  SD Card Reader",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 4th generation,2.6,notebook/laptop,1280.0,720.0,windows,unknown,98.89,240.0,14.0,5.98
auo,81.6,other,No specifications,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,not applicable,1.1861742242409754,other,779.2421706908917,447.94931867081044,unknown,unknown,98.89,205.95,9.07658618216591,5.98
lenovo,533.5,other,"10/100 LAN Card, Webcam integrated, Wi-Fi, Double battery, Bluetooth",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i3 6th generation,3.0,notebook/laptop,1280.0,720.0,windows,ssd,98.89,240.0,12.5,5.98
dell,303.8,other,"10/100 LAN Card, Wi-Fi, SD Card Reader",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 4th generation,2.6,notebook/laptop,1280.0,720.0,windows,unknown,98.89,240.0,14.0,5.98
lenovo,743.0,black,No specifications,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 6th generation,1.1861742242409754,other,779.2421706908917,447.94931867081044,windows,unknown,98.89,960.0,14.0,5.98
lenovo,726.0,gray,Webcam integrated,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i3 10th generation,1.1861742242409754,other,1920.0,1080.0,windows,unknown,98.89,960.0,15.6,5.98
dell,442.0,black,"10/100 LAN Card,  Wi-Fi,  SD Card Reader",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 5th generation,2.7,notebook/laptop,1280.0,720.0,windows,unknown,98.89,960.0,14.0,5.98
dell,1014.5,black,Webcam integrated,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core m5,1.1861742242409754,notebook/laptop,1280.0,720.0,windows,unknown,98.89,120.0,11.6,5.98
lenovo,602.0,black,No specifications,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 6th generation,1.1861742242409754,notebook/laptop,1920.0,1080.0,windows,unknown,98.89,240.0,14.0,5.98
lenovo,751.0,black,Webcam integrated,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 6th generation,1.1861742242409754,notebook/laptop,1920.0,1080.0,windows,unknown,98.89,240.0,14.0,5.98
lenovo,465.5,other,"Touch ID,  10/100 LAN Card,  Bluetooth,  Double battery,  Webcam integrated,  Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 4th generation,1.99,notebook/laptop,1280.0,720.0,windows,ssd,98.89,240.0,12.5,5.98
lenovo,772.5,black,Webcam integrated,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 6th generation,1.1861742242409754,notebook/laptop,1920.0,1080.0,windows,unknown,98.89,480.0,14.0,5.98
dell,462.8,black,"10/100 LAN Card,  Wi-Fi,  SD Card Reader,  Bluetooth",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 4th generation,2.6,notebook/laptop,1280.0,720.0,windows,unknown,98.89,960.0,14.0,5.98
dell,401.8,other,"Touchscreen, 10/100 LAN Card, Bluetooth, LTE, Backlit Keyboard, Webcam integrated, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 6th generation,2.8,notebook/laptop,1920.0,1080.0,windows,unknown,98.89,240.0,12.5,5.98
lenovo,465.5,other,"Touch ID, 10/100 LAN Card, Bluetooth, Double battery, Webcam integrated, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 4th generation,1.99,notebook/laptop,1280.0,720.0,windows,ssd,98.89,240.0,12.5,5.98
samsung,127.8,other,No specifications,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,not applicable,1.1861742242409754,other,779.2421706908917,447.94931867081044,unknown,unknown,98.89,205.95,9.07658618216591,5.98
dell,444.5,other,"Touchscreen, 10/100 LAN Card, Bluetooth, Backlit Keyboard, Webcam integrated, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 6th generation,2.8,notebook/laptop,1920.0,1080.0,windows,unknown,98.89,240.0,12.5,5.98
lenovo,656.5,other,"Touch ID,  10/100 LAN Card,  Wi-Fi,  Backlit Keyboard,  Bluetooth",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 6th generation,2.8,notebook/laptop,1920.0,1080.0,windows,unknown,98.89,2000.0,14.0,5.98
dell,129.6,black,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Wi-Fi",For parts or not working,"An item that does not function as intended and is not fully operational. This includes items that are defective in ways that render them difficult to use, items that require service or repair, items that are locked or can't be activated, or items missing essential components. See the seller's listing for full details.",specs. and some cosmetic and technical issues may be noted in the body of the auction!! ac adapter (power cords) is not included,intel,intel core i5 6th generation,2.4,notebook/laptop,1366.0,768.0,unknown,other,98.89,256.0,14.0,8.0
dell,334.5,other,No specifications,Seller refurbished,"The item has been restored to working order by the eBay seller or a third party. This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition. This item may or may not be in original packaging. See seller's listing for full details.",undefined,intel,intel core i5 5th generation,1.1861742242409754,notebook/laptop,1280.0,720.0,windows,unknown,98.89,120.0,14.0,5.98
lg,94.0,other,No specifications,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,not applicable,1.1861742242409754,other,779.2421706908917,447.94931867081044,unknown,unknown,98.89,205.95,9.07658618216591,5.98
lenovo,323.0,other,Webcam integrated,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 4th generation,1.1861742242409754,other,1280.0,720.0,windows,unknown,98.89,240.0,13.3,5.98
dell,280.0,other,"10/100 LAN Card, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 3rd generation,3.0,notebook/laptop,1280.0,720.0,windows,unknown,98.89,240.0,14.0,5.98
hp,119.06,other,No specifications,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,not applicable,1.1861742242409754,other,779.2421706908917,447.94931867081044,unknown,unknown,98.89,205.95,9.07658618216591,5.98
lg,90.44,other,No specifications,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,not applicable,1.1861742242409754,other,779.2421706908917,447.94931867081044,unknown,unknown,98.89,205.95,9.07658618216591,5.98
dell,499.0,other,"10/100 LAN Card,  Wi-Fi,  SD Card Reader",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 4th generation,2.6,notebook/laptop,1280.0,720.0,windows,unknown,98.89,2000.0,14.0,5.98
auo,69.25,other,No specifications,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,not applicable,1.1861742242409754,other,779.2421706908917,447.94931867081044,unknown,unknown,98.89,205.95,9.07658618216591,5.98
dell,463.2,other,"Webcam integrated, Wi-Fi, Touchscreen, Bluetooth",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 6th generation,2.3,notebook/laptop,1920.0,1080.0,windows,ssd,98.89,480.0,12.5,5.98
lg,95.3,other,No specifications,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,not applicable,1.1861742242409754,other,779.2421706908917,447.94931867081044,unknown,unknown,98.89,205.95,9.07658618216591,5.98
lenovo,427.2,other,"Touch ID, 10/100 LAN Card, Bluetooth, Double battery, Webcam integrated, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 4th generation,1.99,notebook/laptop,1280.0,720.0,windows,ssd,98.89,120.0,12.5,5.98
auo,75.2,other,No specifications,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,not applicable,1.1861742242409754,other,779.2421706908917,447.94931867081044,unknown,unknown,98.89,205.95,9.07658618216591,5.98
auo,61.12,other,No specifications,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,not applicable,1.1861742242409754,other,779.2421706908917,447.94931867081044,unknown,unknown,98.89,205.95,9.07658618216591,5.98
dell,451.5,black,"10/100 LAN Card,  Webcam integrated,  Wi-Fi,  Touchscreen,  Bluetooth",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 6th generation,2.8,notebook/laptop,1920.0,1080.0,windows,unknown,98.89,240.0,12.5,5.98
dell,339.8,other,No specifications,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 4th generation,1.1861742242409754,notebook/laptop,1280.0,720.0,windows,unknown,98.89,240.0,14.0,5.98
acer,27.77,other,No specifications,For parts or not working,"An item that does not function as intended and is not fully operational. This includes items that are defective in ways that render them difficult to use, items that require service or repair, items that are locked or can't be activated, or items missing essential components. See the seller's listing for full details.",undefined,other,intel celeron,1.1861742242409754,other,779.2421706908917,447.94931867081044,unknown,unknown,98.89,205.95,15.4,5.98
dell,469.0,other,"10/100 LAN Card,  Wi-Fi",Seller refurbished,"The item has been restored to working order by the eBay seller or a third party. This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition. This item may or may not be in original packaging. See seller's listing for full details.",undefined,intel,intel core i5 3rd generation,3.1,notebook/laptop,1280.0,720.0,windows,unknown,98.89,960.0,14.0,5.98
dell,444.5,other,"Touchscreen,  10/100 LAN Card,  Bluetooth,  Backlit Keyboard,  Webcam integrated,  Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 6th generation,2.8,notebook/laptop,1920.0,1080.0,windows,unknown,98.89,240.0,12.5,5.98
lenovo,636.5,black,"10/100 LAN Card, Webcam integrated, Wi-Fi, Touchscreen, Bluetooth",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 6th generation,3.0,notebook/laptop,1920.0,1080.0,windows,ssd,98.89,240.0,14.0,5.98
lenovo,584.5,black,No specifications,Undefined,Undefined,undefined,other,undefined,1.1861742242409754,notebook/laptop,779.2421706908917,447.94931867081044,unknown,unknown,98.89,205.95,9.07658618216591,5.98
lenovo,462.8,black,Webcam integrated,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i3 7th generation,1.1861742242409754,other,1280.0,720.0,windows,unknown,98.89,120.0,13.3,5.98
dell,335.8,other,"10/100 LAN Card,  Wi-Fi,  SD Card Reader",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,nvidia,intel core i5 4th generation,2.6,notebook/laptop,1280.0,720.0,windows,unknown,98.89,240.0,14.0,5.98
lg,69.75,other,No specifications,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,not applicable,1.1861742242409754,other,779.2421706908917,447.94931867081044,unknown,unknown,98.89,205.95,9.07658618216591,5.98
lenovo,433.5,other,"Touch ID,  10/100 LAN Card,  Bluetooth,  Double battery,  Webcam integrated,  Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 4th generation,1.99,notebook/laptop,1280.0,720.0,windows,ssd,98.89,120.0,12.5,5.98
dell,437.2,other,"10/100 LAN Card,  Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 3rd generation,3.0,notebook/laptop,1280.0,720.0,windows,ssd,98.89,960.0,14.0,5.98
dell,424.8,black,"Touchscreen, 10/100 LAN Card, Bluetooth, LTE, Backlit Keyboard, Webcam integrated, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 6th generation,2.8,notebook/laptop,1920.0,1080.0,windows,unknown,98.89,120.0,12.5,5.98
lg,93.44,other,No specifications,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,not applicable,1.1861742242409754,other,779.2421706908917,447.94931867081044,unknown,unknown,98.89,205.95,9.07658618216591,5.98
dell,423.5,other,"Touchscreen, 10/100 LAN Card, Bluetooth, Backlit Keyboard, Webcam integrated, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 6th generation,2.8,notebook/laptop,1920.0,1080.0,windows,unknown,98.89,240.0,12.5,5.98
lg,132.8,other,No specifications,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,not applicable,1.1861742242409754,other,779.2421706908917,447.94931867081044,unknown,unknown,98.89,205.95,9.07658618216591,5.98
auo,74.56,other,No specifications,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,not applicable,1.1861742242409754,other,779.2421706908917,447.94931867081044,unknown,unknown,98.89,205.95,9.07658618216591,5.98
lenovo,454.0,other,"Touch ID, 10/100 LAN Card, Bluetooth, Webcam integrated, Wi-Fi, Optical Drive",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i3 7th generation,3.0,notebook/laptop,1920.0,1080.0,windows,hdd/ssd,98.89,120.0,15.6,5.98
dell,427.0,other,"10/100 LAN Card, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 2nd generation,3.0,notebook/laptop,1280.0,720.0,windows,ssd,98.89,240.0,15.6,5.98
auo,71.44,other,No specifications,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,not applicable,1.1861742242409754,other,779.2421706908917,447.94931867081044,unknown,unknown,98.89,205.95,9.07658618216591,5.98
lg,127.8,other,No specifications,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,not applicable,1.1861742242409754,other,779.2421706908917,447.94931867081044,unknown,unknown,98.89,205.95,9.07658618216591,5.98
dell,345.2,other,"10/100 LAN Card, Wi-Fi, SD Card Reader",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 5th generation,2.7,notebook/laptop,1280.0,720.0,windows,unknown,98.89,240.0,14.0,5.98
dell,422.8,other,"Touchscreen,  10/100 LAN Card,  Bluetooth,  Backlit Keyboard,  Webcam integrated,  Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 6th generation,2.8,notebook/laptop,1920.0,1080.0,windows,unknown,98.89,240.0,12.5,5.98
dell,72.0,other,No specifications,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,not applicable,1.1861742242409754,other,779.2421706908917,447.94931867081044,unknown,unknown,98.89,205.95,9.07658618216591,5.98
lenovo,519.5,black,"Touch ID, 10/100 LAN Card, Bluetooth, Webcam integrated, Wi-Fi, Optical Drive",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i3 7th generation,3.0,notebook/laptop,1920.0,1080.0,windows,hdd/ssd,98.89,240.0,15.6,5.98
lenovo,497.2,other,"Touch ID,  10/100 LAN Card,  Bluetooth,  Double battery,  Webcam integrated,  Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 4th generation,1.99,notebook/laptop,1280.0,720.0,windows,ssd,98.89,480.0,12.5,5.98
dell,321.2,other,"10/100 LAN Card,  Wi-Fi,  SD Card Reader",Seller refurbished,"The item has been restored to working order by the eBay seller or a third party. This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition. This item may or may not be in original packaging. See seller's listing for full details.",undefined,nvidia,intel core i5 4th generation,2.6,notebook/laptop,1280.0,720.0,windows,unknown,98.89,120.0,14.0,5.98
lenovo,458.0,black,"10/100 LAN Card, Webcam integrated, Wi-Fi, Bluetooth",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 3rd generation,3.0,notebook/laptop,1280.0,720.0,windows,ssd,98.89,240.0,14.0,5.98
dell,462.8,gray,"FHD,  Touchscreen,  Wi-Fi,  Webcam integrated,  Bluetooth",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i7 6th generation,2.5,notebook/laptop,1366.0,768.0,windows,unknown,500.0,500.0,13.3,5.98
dell,378.5,black,No specifications,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 6th generation,1.1861742242409754,other,1280.0,720.0,windows,unknown,98.89,256.0,14.0,5.98
dell,379.2,black,"10/100 LAN Card, Wi-Fi, SD Card Reader",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 4th generation,2.6,notebook/laptop,1280.0,720.0,windows,unknown,98.89,240.0,14.0,5.98
lenovo,538.5,gray,"Webcam integrated, Wi-Fi, Water resistant, Bluetooth",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i3 10th generation,1.49,notebook/laptop,1920.0,1080.0,windows,ssd,98.89,120.0,15.6,5.98
lenovo,453.8,other,Refurbished,Undefined,Undefined,undefined,intel,intel core i5 4th gen,2.1,notebook/laptop,1600.0,900.0,windows,ssd,128.0,128.0,14.0,8.0
lenovo,590.0,black,"10/100 LAN Card, Webcam integrated, Wi-Fi, Bluetooth",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 3rd generation,3.0,notebook/laptop,1280.0,720.0,windows,ssd,98.89,960.0,14.0,5.98
dell,110.0,black,No specifications,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",charger and battery included.,other,intel core i5 5th generation,2.3,notebook/laptop,1920.0,1080.0,windows,ssd,98.89,128.0,14.0,4.0
lenovo,458.0,black,"10/100 LAN Card,  Webcam integrated,  Wi-Fi,  Bluetooth",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 3rd generation,3.0,notebook/laptop,1280.0,720.0,windows,ssd,98.89,240.0,14.0,5.98
dell,284.8,black,"Built-in Microphone, Built-in Webcam, WIFI, Bluetooth",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,other,core i5 6300u 2.40ghz,2.4,notebook/laptop,1920.0,1080.0,windows,ssd,98.89,256.0,14.0,5.98
lenovo,578.0,other,"10/100 LAN Card,  Touchscreen,  Wi-Fi,  Bluetooth",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 6th generation,3.0,notebook/laptop,779.2421706908917,447.94931867081044,windows,ssd,98.89,120.0,14.0,5.98
