Brand,Price,Color,Features,Condition,Condition Description,Seller Note,GPU,Processor,Processor Speed,Type,Display Width,Display Height,OS,Storage Type,Hard Drive Capacity,SSD Capacity,Screen Size (inch),Ram Size
other,159.0,silver,"Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,intel celeron n,2.8,notebook/laptop,1920.0,1080.0,chrome,ssd,128.0,128.0,15.6,4.0
other,152.2,other,No specifications,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","gebraucht, guter zustand, mit gebrauchsspuren, us-qwerty tastatur",other,undefined,1.1861742242409754,other,779.2421706908917,447.94931867081044,unknown,unknown,98.89,205.95,9.07658618216591,5.98
other,65.25,other,No specifications,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,undefined,1.1861742242409754,other,779.2421706908917,447.94931867081044,unknown,unknown,98.89,205.95,9.07658618216591,5.98
other,287.0,gray,Backlit Keyboard,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,intel,intel core m3,1.1,notebook/laptop,1920.0,1080.0,windows,ssd,256.0,256.0,13.3,8.0
other,256.5,gray,"Built-in Microphone,  Built-in Webcam,  Bluetooth,  Wi-Fi",New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,intel,quad core,3.4,notebook/laptop,1920.0,1080.0,windows,ssd,256.0,256.0,15.6,8.0
other,119.0,other,Wi-Fi,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","you will receive a brand named laptop that is between 14"" and 15.6"" the laptop will have windows 7 pro 64bit installed with all drivers. the laptop will have a dvdrw drive, wireless internet and at least 2 usb ports. the laptop will have a widescreen. the laptop will come with a charger but will have no guarantee on the battery life if any. the processor will be at least 2.0ghz. the memory will be at least 4gb. the hard drive size will be at least 250gb. the laptop may or may not have an hdmi port / webcam. most do but a few will not.",other,intel or amd,2.0,notebook/laptop,779.2421706908917,447.94931867081044,windows,hdd/ssd,250.0,205.95,14.0,5.98
other,134.0,gray,"Built-in Microphone,  Built-in Webcam",New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,intel,intel celeron n,2.6,notebook/laptop,1920.0,1080.0,windows,ssd,256.0,1000.0,14.1,8.0
other,250.1,other,No specifications,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,other,undefined,1.1861742242409754,other,779.2421706908917,447.94931867081044,unknown,unknown,98.89,205.95,9.07658618216591,5.98
other,95.94,other,No specifications,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,other,intel core i5 8th generation,1.1861742242409754,notebook/laptop,1366.0,768.0,windows,ssd,98.89,256.0,13.3,8.0
other,669.0,silver,"10/100 LAN Card, Backlit Keyboard, Bluetooth, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, LTE, Rugged, Stylus, Touchscreen, Wi-Fi, 2D Barcode Reader, Dual Battery, Fingerprint Reader, Infrared Camera",Excellent - Refurbished,"The item is in like-new condition, backed by a one year warranty. It has been professionally refurbished, inspected and cleaned to excellent condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.","excellent - refurbished: the item is in like-new condition, backed by a one year warranty. it has been professionally refurbished, inspected and cleaned to excellent condition by qualified sellers. the item includes original or new accessories and will come in new generic packaging. see the seller's listing for full details. see all condition definitions",intel,intel core i5 7th generation,3.3,notebook/laptop,1920.0,1200.0,windows,ssd,256.0,256.0,10.1,16.0
